service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
NCT:PB0002362:31:10:48,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:31:10:49,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:31:10:50,0,0,0,0,0,0,1,20251124,20251213
NCT:PB0002362:31:10:51,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:31:10:52,0,0,0,0,0,0,1,20251124,20251213
NCT:PB0002362:31:10:53,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:31:10:54,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:31:10:55,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:31:10:56,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:31:10:57,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:31:10:58,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:31:10:59,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:31:10:60,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:31:10:61,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:31:10:62,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:31:10:63,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:31:10:64,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:31:10:65,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:31:10:66,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:31:10:67,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:31:10:68,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:31:10:69,0,0,0,0,0,0,1,20251124,20251213
NCT:PB0002362:31:10:70,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:31:10:71,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:31:10:72,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:31:10:73,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:31:10:74,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:31:10:75,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:31:10:76,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:31:10:77,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:31:10:78,0,0,0,0,0,0,1,20251124,20251213
NCT:PB0002362:31:10:79,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:31:10:80,0,0,0,0,0,0,1,20251124,20251213
NCT:PB0002362:31:10:81,1,1,1,1,1,0,0,20251124,20251213
