stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
3390M1,,"City, Maid Marian Way M1",,52.9529001,-1.1536078,,,0,,,0
3390S5,,"Nottingham Station S5",,52.94776,-1.1476059,,,0,,,0
3390S7,,"Nottingham Station S7",,52.947256,-1.147126,,,0,,,0
3390W3,,"City, Victoria Centre W3",,52.955135,-1.146851,,,0,,,0
3300RU0116,,"Gamston, Morrisons",,52.923859,-1.101635,,,0,,,0
3300RU0126,,Beckside,,52.922935,-1.099866,,,0,,,0
3300RU0127,,"Goose at Gamston",,52.9236542,-1.0995124,,,0,,,0
3300RU0128,,"Borrowdale Close",,52.926649,-1.100878,,,0,,,0
3300RU0129,,"Borrowdale Close",,52.926738,-1.100787,,,0,,,0
3300RU0130,,"Elterwater Drive",,52.927631,-1.104711,,,0,,,0
3300RU0131,,"Kirkstone Drive",,52.929418,-1.106906,,,0,,,0
3300RU0157,,"Kirkstone Drive",,52.929958,-1.106939,,,0,,,0
3300RU0194,,Cartbridge,,52.905841,-1.03709,,,0,,,0
3300RU0217,,Cartbridge,,52.905981,-1.036552,,,0,,,0
3300RU0253,,"Adbolton Lane, opposite terminus",,52.938382,-1.111766,,,0,,,0
3300RU0281,,"East Acres",,52.912102,-1.038661,,,0,,,0
3300RU0282,,"East Acres",,52.912166,-1.038779,,,0,,,0
3300RU0285,,"The Maltings",,52.914688,-0.982194,,,0,,,0
3300RU0287,,"Cropwell Bishop, Church Street",,52.913262,-0.983582,,,0,,,0
3300RU0289,,"Nottingham Road",,52.912704,-0.984635,,,0,,,0
3300RU0299,,"Kinoulton Road",,52.912718,-0.990509,,,0,,,0
3300RU0317,,"Cotgrave, White Furrows",,52.908313,-1.041541,,,0,,,0
3300RU0324,,Woodview,,52.905931,-1.034828,,,0,,,0
3300RU0325,,"Little Meadow",,52.907216,-1.034844,,,0,,,0
3300RU0327,,"Cotgrave, White Furrows",,52.90855,-1.041848,,,0,,,0
3300RU0329,,Daleside,,52.906295,-1.03989,,,0,,,0
3300RU0330,,Daleside,,52.90636,-1.040067,,,0,,,0
3300RU0338,,"Cotgrave, Candleby Lane School",,52.9096044,-1.0366497,,,0,,,0
3300RU0350,,"Mensing Avenue",,52.910049,-1.046097,,,0,,,0
3300RU0375,,"Cotgrave Lane End",,52.904096,-1.071906,,,0,,,0
3300RU0376,,"Cotgrave Lane End",,52.903917,-1.071571,,,0,,,0
3300RU0377,,"Cotgrave Road",,52.904297,-1.067753,,,0,,,0
3300RU0378,,"Cotgrave Road",,52.904268,-1.067531,,,0,,,0
3300RU0379,,"Mensing Avenue",,52.909728,-1.046402,,,0,,,0
3300RU0389,,"Tollerton Park",,52.921757,-1.091133,,,0,,,0
3300RU0390,,"Tollerton, Chestnut Mews",,52.911098,-1.08462,,,0,,,0
3300RU0402,,"Nottingham Airport",,52.917231,-1.086022,,,0,,,0
3300RU0473,,"Fox Road",,52.938244,-1.130845,,,0,,,0
3300RU0481,,"Primary School",,52.938394,-1.120708,,,0,,,0
3300RU0495,,"Tollerton, Chestnut Mews",,52.911043,-1.084487,,,0,,,0
3300RU0510,,"Cricket Ground",,52.937646,-1.1338623,,,0,,,0
3300RU0511,,Skylarks,,52.938483,-1.107299,,,0,,,0
3300RU0512,,"Adbolton Lane Terminus",,52.938625,-1.11179,,,0,,,0
3300RU0513,,"Seymour Road",,52.938022,-1.114124,,,0,,,0
3300RU0514,,"Seymour Road",,52.938073,-1.113721,,,0,,,0
3300RU0515,,"Gertrude Road",,52.938136,-1.116235,,,0,,,0
3300RU0516,,"Gertrude Road",,52.938238,-1.116649,,,0,,,0
3300RU0517,,"Primary School",,52.938453,-1.120142,,,0,,,0
3300RU0518,,"Woodland Road",,52.938766,-1.126013,,,0,,,0
3300RU0520,,"Fox Road",,52.937935,-1.13158,,,0,,,0
3300RU0530,,"Woodland Road",,52.938653,-1.125256,,,0,,,0
3300RU0540,,"Greenacres Park",,52.93944,-1.104211,,,0,,,0
3300RU0543,,"National Water Sports Centre",,52.941211,-1.090085,,,0,,,0
3300RU0544,,"National Water Sports Centre",,52.940792,-1.090496,,,0,,,0
3300RU0545,,"Caravan Park",,52.940548,-1.099772,,,0,,,0
3300RU0546,,"Caravan Park",,52.940098,-1.100868,,,0,,,0
3300RU0622,,"Hoe Nook",,52.912789,-0.988202,,,0,,,0
3300RU0623,,"Brownhill Close",,52.914347,-0.988612,,,0,,,0
3300RU0624,,"Parkin Close",,52.916383,-0.988029,,,0,,,0
3300RU0625,,"Hoe View Road",,52.917124,-0.986302,,,0,,,0
3300RU0626,,"Hoe View Road End",,52.916565,-0.983043,,,0,,,0
3300RU0627,,"Cotgrave Lane",,52.907963,-1.076715,,,0,,,0
3300RU0673,,"Stavely Way",,52.930766,-1.10735,,,0,,,0
3300RU0703,,"Cotgrave Lane",,52.907974,-1.076968,,,0,,,0
3300RU0704,,"Tollerton Park",,52.921873,-1.091086,,,0,,,0
3300RU0712,,"Elterwater Drive",,52.927675,-1.104606,,,0,,,0
3300RU0729,,"Kinoulton Road",,52.912573,-0.990319,,,0,,,0
3300RU0757,,"Nottingham Airport",,52.917151,-1.086113,,,0,,,0
3300RU0782,,Skylarks,,52.938577,-1.107789,,,0,,,0
3300RU0796,,"Goose at Gamston",,52.923709,-1.099615,,,0,,,0
3300RU0811,,"Adbolton Lane, outside terminus",,52.938498,-1.111659,,,0,,,0
3300RU0835,,"Cotgrave, Candleby Lane School",,52.909691,-1.036276,,,0,,,0
3300RU0836,,"Little Meadow",,52.907179,-1.034652,,,0,,,0
3300RU0837,,Woodview,,52.905867,-1.03471,,,0,,,0
3300RU0881,,"Welfare Park and Ride",,52.908734,-1.034661,,,0,,,0
3300RU0882,,"Welfare Park and Ride",,52.90855,-1.034764,,,0,,,0
3300RU0891,,"High Hazles Road",,52.914138,-1.033649,,,0,,,0
3300RU0892,,"High Hazles Road",,52.914092,-1.033531,,,0,,,0
3300RU0925,,"Fieldfare Road",,52.92153,-1.031669,,,0,,,0
